"id_customer","first_name","last_name","email","child_number","nb_collect","city_name_id","csp_name_id"
"110","Patrick"," Lacombe"," patrick@lacombe.fr",1,"142","bordeaux","employé"
"108","Thibaut"," Martel"," thibaut@martel.fr",5,"140","amiens","employé"
"117","Édith"," Samson"," edith@samson.fr",3,"149","bordeaux","artisan"
"112","Margaux"," Hernandez"," margaux@hernandez.fr",2,"144","bordeaux","artisan"
"124","Stéphanie"," Mary"," stephanie@mary.fr",2,"156","paris","employé"
"109","Susanne"," Vasseur"," susanne@vasseur.fr",2,"141","paris","employé"
"111","Roland"," Guyot"," roland@guyot.fr",0,"143","paris","artisan"
"119","Chantal"," Vidal"," chantal@vidal.fr",3,"151","paris","artisan"
"120","Martine"," Roux"," martine@roux.fr",0,"152","paris","artisan"
"114","Jérôme"," Weiss"," jerome@weiss.fr",3,"146","paris","artisan"
"115","Anne"," Carre"," anne@carre.fr",2,"147","paris","artisan"
"118","Daniel"," Henry"," daniel@henry.fr",2,"150","paris","artisan"
"123","Raymond"," Cordier"," raymond@cordier.fr",1,"155","amiens","artisan"
"116","Maurice"," Diaz"," maurice@diaz.fr",2,"148","courbevoie","artisan"
"121","Gilbert"," Joubert"," gilbert@joubert.fr",2,"153","courbevoie","artisan"
"122","Denise"," Lefevre"," denise@lefevre.fr",0,"154","courbevoie","artisan"
"113","Lucie"," Hoarau"," lucie@hoarau.fr",4,"145","amiens","artisan"
"125","Robert"," Leblanc"," robert@leblanc.fr",3,"157","bordeaux","artisan"
"126","Marcelle"," Brunet"," marcelle@brunet.fr",2,"158","bourges","artisan"
"127","Noémi"," Chevallier"," noemi@chevallier.fr",2,"159","bordeaux","artisan"
